match_id,team_id,role_kind,role_raw,person_id,person_name
5143291,576,team_delegate,team_delegate,,"POSTIGO PASCUAL, RAMÓN"
5143291,576,other_staff,AUXILIAR,19618984,"PIMENTEL CORTEZ, PEDRO JOSE LUIS"
5143291,576,other_staff,ENCARGADO DE MATERIAL,21849723,"RESTREPO, SANTIAGO"
5143289,12,head_coach,head_coach,64543,"PIZARRO GONZALEZ, VICTOR MANUEL"
5143289,12,assistant_coach,assistant_coach,31280,"VALLINA SANTOS, JUAN JOSE"
5143289,12,team_delegate,team_delegate,,"GARCIA GIL GUERRA, EMILIO"
5143289,12,other_staff,AYUDANTE TECNICO SANITARIO,149158,"VEGA PALENCIA, OSCAR"
5143289,302,head_coach,head_coach,16853073,"ARIAS VALLEJO, ADRIÁN"
5143293,846961,head_coach,head_coach,11567262,"MOYA CAMPOS, RUBÉN"
5143293,846961,team_delegate,team_delegate,,"IZQUIERDO ALVARO, MIGUEL ANGEL"
5143293,846961,other_staff,AUXILIAR,22011808,"CHAU, SAU HIM STEVE"
5143293,846961,other_staff,ENCARGADO DE MATERIAL,22318047,"SÁNCHEZ TORRES, EDUARDO"
5143293,636,team_delegate,team_delegate,,"ROBERTO LOPEZ, MARCOS"
5143293,636,other_staff,AUXILIAR,12950261,"GALINDO RODRIGUEZ MOLDES, ELENA"
5143292,3356322,head_coach,head_coach,13513389,"CARRERO MUÑOZ, HUGO ANGEL"
5143292,3356322,team_delegate,team_delegate,,"DEL PINO OROPESA, ÁLVARO"
5143292,102,head_coach,head_coach,550761,"PLEITE FERNANDEZ, JOSE LUIS"
5143292,102,team_delegate,team_delegate,,"GÓMEZ CERRILLO, PABLO"
5143292,102,other_staff,AUXILIAR,21897296,"AMADOR CID, SANTIAGO"
5143296,33,head_coach,head_coach,2477847,"TRAPERO CRESPO, IVAN"
5143296,33,assistant_coach,assistant_coach,9552834,"ESTEBAN SANZ, DAVID"
5143296,33,team_delegate,team_delegate,,"NAVARRO PARRA, ENRIQUE"
5143296,2739618,head_coach,head_coach,11523525,"HURTADO REAL, JESÚS"
5143295,1606,head_coach,head_coach,14295520,"AGUILAR ESCOFFIER, LUIS ÁNGEL"
5143295,1606,team_delegate,team_delegate,,"DEL PESO BARROSO, SERGIO"
5143295,65,head_coach,head_coach,8599551,"MADRID FLORES, MARIO"
5143295,65,team_delegate,team_delegate,,"DIAZ MASEDA, ALBERTO"
5143295,65,other_staff,ENCARGADO DE MATERIAL,21730449,"GOMEZ MASEDA, RAUL"
5143295,65,other_staff,AUXILIAR,21894742,"JIMÉNEZ POCIELLO, ENRIQUE"
5143294,851327,head_coach,head_coach,15440300,"GALISTEO RAMIREZ, DAVID"
5143294,851327,other_staff,ENCARGADO DE MATERIAL,11446561,"EL SAYED VALERO, MEHDI"
5143294,80,head_coach,head_coach,8958891,"MORAN MOLINA, SERGIO"
5143294,80,other_staff,AUXILIAR,20385855,"MARTINEZ GALLEGO, CARLOS H"
5143294,80,other_staff,ENCARGADO DE MATERIAL,22713646,"CID GARCIA, RAUL"
5143290,680430,head_coach,head_coach,3186397,"HERNANDEZ GONZALEZ, ADRIAN"
5143290,680430,team_delegate,team_delegate,,"BANCALERO RUEDA, ALVARO"
5143290,300414,head_coach,head_coach,57054,"MARTOS RON, OSCAR"
5143290,300414,team_delegate,team_delegate,,"MARTIN MUR, MARCOS"
5143298,300414,head_coach,head_coach,57054,"MARTOS RON, OSCAR"
5143298,300414,assistant_coach,assistant_coach,22656416,"FORONDA ALMAIDA, ALVARO"
5143298,300414,team_delegate,team_delegate,,"MARTIN MUR, MARCOS"
5143298,12,head_coach,head_coach,64543,"PIZARRO GONZALEZ, VICTOR MANUEL"
5143298,12,assistant_coach,assistant_coach,31280,"VALLINA SANTOS, JUAN JOSE"
5143298,12,team_delegate,team_delegate,,"GARCIA GIL GUERRA, EMILIO"
5143298,12,other_staff,AYUDANTE TECNICO SANITARIO,461542,"DIAZ ALBARES, MIGUEL ANGEL"
5143302,80,head_coach,head_coach,8958891,"MORAN MOLINA, SERGIO"
5143302,80,team_delegate,team_delegate,,"CID GARCIA, MARIO"
5143302,80,other_staff,AUXILIAR,20385855,"MARTINEZ GALLEGO, CARLOS H"
5143302,80,other_staff,ENCARGADO DE MATERIAL,22713646,"CID GARCIA, RAUL"
5143302,846961,head_coach,head_coach,11567262,"MOYA CAMPOS, RUBÉN"
5143302,846961,team_delegate,team_delegate,,"VALERA BONILLA, LUIS ALBERTO"
5143302,846961,other_staff,AUXILIAR,16878249,"JIMENEZ BUENO, IVAN"
5143302,846961,other_staff,AUXILIAR,22011808,"CHAU, SAU HIM STEVE"
5143299,2137,team_delegate,team_delegate,,"VELÁZQUEZ GALIANA, DIEGO"
5143299,680430,head_coach,head_coach,3186397,"HERNANDEZ GONZALEZ, ADRIAN"
5143299,680430,team_delegate,team_delegate,,"ALONSO CELEMIN, IGNACIO"
5143303,65,head_coach,head_coach,8599551,"MADRID FLORES, MARIO"
5143303,65,team_delegate,team_delegate,,"DIAZ MASEDA, ALBERTO"
5143303,65,other_staff,ENCARGADO DE MATERIAL,21730449,"GOMEZ MASEDA, RAUL"
5143303,65,other_staff,AUXILIAR,21894742,"JIMÉNEZ POCIELLO, ENRIQUE"
